job,job_category,count
math science educator,teacher,2
systems engineer,engineer,2
editor academic competitions,editor academic competitions,2
marketing writer,writer,2
marketing strategy consultant,consultant,2
marketing specialist,specialist,2
marketing manager,manager,2
marketing director,director,2
marketing associate,marketing associate,2
analytics manager,manager,2
medical device engineer,engineer,2
medical doctoral student,doctor,2
structural engineer,engineer,2
architect,architect,2
doctoral student,doctor,2
mental health counselor,misc health,2
door person,door person,2
summer camp director,director,2
merchandise planner,merchandise planner,2
medical records coder,medical records coder,2
senior legislative aide originally,unemployed,3
ap world history teacher,teacher,3
student writer,student,3
senior mit,student,3
assets protection leader,assets protection leader,3
tutoring testing director,director,3
bakery owner,bakery owner,3
science policy fellow,science policy fellow,3
software salesman,software salesman,3
aspiring tv writer,writer,3
associate professor,professor,3
robotics ph.d. student mit,grad student,3
tax accountant originally,unemployed,3
social media analyst,analyst,3
senior finance manager,manager,3
biologist,biologist,3
arts administrator,artist/designer,3
artist,artist/designer,3
veterinarian,veterinarian,3
art education student,artist/designer,3
video editor,video editor,3
army officer originally,unemployed,3
attorney editor,attorney,3
administrative specialist,specialist,3
architect originally,unemployed,3
sports industry consultant,consultant,3
visual information specialist originally,unemployed,3
advocation support specialist,specialist,3
aspiring student,student,3
web developer,web developer,3
unemployed bartender,artist/designer,3
small business owner,small business owner,3
substitute teacher,teacher,3
physics professor,professor,3
mechanical engineer,engineer,3
legislative librarian,librarian,3
librarian stay-at-home mom,unemployed,3
loan coordinator,coordinator,3
education administrator,education administrator,3
editor writer,writer,3
math professor,professor,3
e.r. social worker,e.r. social worker,3
middle school special education teacher,teacher,3
military attorney originally,unemployed,3
director technology,director,3
mortgage coordinator originally,unemployed,3
museum development assistant,museum development assistant,3
direct service provider,direct service provider,3
navy pilot originally,unemployed,3
newscaster editor,newscaster editor,3
operations manager,manager,3
criminal defense attorney,attorney,3
paralegal,paralegal,3
pediatric dentist,pediatric dentist,3
pediatric emergency medicine physician,pediatric emergency medicine physician,3
pediatrician,pediatrician,3
legal records assistant,legal records assistant,3
engineering student originally,unemployed,3
lecturer,teacher,3
language specialist,specialist,3
graduate student mathematics,grad student,3
grant writer,writer,3
graduate student communications studies,grad student,3
geriatrician,geriatrician,3
healthcare analyst,misc health,3
genomics research manager,manager,3
fundraising project manager,manager,3
freshman georgia tech,student,3
freelance musician,freelance musician,3
history professor,professor,3
contracting officer,contracting officer,3
freelance consultant,consultant,3
former writer high school english teacher,misc education,3
hotel desk reception clerk,hotel desk reception clerk,3
filmmaker,filmmaker,3
fifth grade teacher,grad student,3
international development researcher,scientist,3
executive assistant,manager,3
junior stanford university,student,3
junior stetson university,student,3
junior university southern california,student,3
environmental engineer,engineer,3
freelance associate casting director,director,3
police officer,police officer,3
youth ministry consultant,consultant,3
business owner,business owner,3
chemical engineer,engineer,3
consultant originally,unemployed,3
consultant,consultant,3
church musician homemaker,church musician homemaker,3
college professor,professor,3
retail manager,manager,3
certified public accountant,certified public accountant,3
puzzlemaker,puzzlemaker,3
college admission officer,college admission officer,3
product manager,manager,3
policy researcher advisor,advisor,3
business development associate originally,unemployed,3
program director,director,3
retired adjunct professor,unemployed,3
homemaker,homemaker,4
mathematician,mathematician,4
user experience librarian,librarian,4
second grade teacher,grad student,4
medical informaticist,medical informaticist,4
editorial assistant,editorial assistant,4
veterinary clinical pathologist originally,unemployed,4
higher education administrator,higher education administrator,4
middle school instrumental music teacher,teacher,4
high school world history teacher,misc education,4
high school teacher,misc education,4
museum education manager,manager,4
museum educator,teacher,4
supply chain analyst,analyst,4
draftsman college student,student,4
accountant,accountant,4
managing director art bazaar,artist/designer,4
internet operations technician,technician,4
actress writer,writer,4
classical singer,classical singer,4
registered nurse,nurse,4
actor,actor,4
law student,student,4
instructional design consultant,consultant,4
financial analyst,analyst,4
public defender,public defender,4
engineering manager,manager,4
flight attendant,flight attendant,4
library assistant,librarian,4
accountant voice artist,artist/designer,4
elementary bilingual teacher,teacher,4
electrical engineer,engineer,4
former attorney,attorney,4
management analyst,analyst,4
project coordinator,coordinator,4
private investor,private investor,4
journalism professor,professor,4
wrap facilitator,wrap facilitator,4
ph.d. student computer science originally,unemployed,4
cell biologist,cell biologist,4
g.i.s. technician,technician,4
cancer registrar originally,unemployed,4
6th grade english teacher,grad student,4
11-year-old,unemployed,4
high school french english teacher,misc education,4
sophomore university central florida,student,4
20-time jeopardy! champion,20-time jeopardy! champion,4
bus driver trainer,bus driver trainer,4
pastor,pastor,4
11th grade physics teacher,grad student,4
11th grade u.s. history teacher,grad student,4
graphic designer,artist/designer,4
sophomore university california,student,4
social media editor,social media editor,4
business analyst,analyst,4
stay-at-home dad,unemployed,4
digital consultant,consultant,4
freshman united states naval academy,student,4
ph.d. student linguistics,grad student,4
freshman tufts university,student,4
graduate student psychology,grad student,4
9th 10th grade math teacher,grad student,4
dentist,dentist,4
stay-at-home parent,unemployed,4
physical therapist,physical therapist,4
volunteer casa guardian ad litem,volunteer,4
retired police officer,unemployed,5
technical writer,writer,5
attorney government relations professional,misc government,5
communications manager,manager,5
psychologist,psychologist,5
ph.d. candidate history originally,unemployed,5
third grade teacher,grad student,5
graduate student originally,unemployed,5
graduate student history,grad student,5
housewife,housewife,5
law clerk,law clerk,5
ph.d. student economics originally,unemployed,5
esl teacher,teacher,5
law professor,professor,5
musician,musician,5
office assistant,office assistant,5
composer,composer,5
high school spanish teacher,misc education,5
author,author,5
investment analyst,analyst,5
middle school math teacher,teacher,5
attorney writer,writer,5
data conversion manager,manager,5
data analyst,analyst,5
12-year-old,unemployed,5
bookseller,bookseller,5
marketing coordinator,coordinator,5
compliance analyst,analyst,5
urban planner,urban planner,5
management consultant originally,unemployed,5
university professor,professor,5
nanny,nanny,5
writer comedian,writer,5
research editor,scientist,5
pediatric nurse practitioner student,student,5
technical engineer,engineer,5
organization development consultant,consultant,5
fire lookout,fire lookout,6
freelance writer,writer,6
tutor,tutor,6
freshman brown university,student,6
hotel front desk manager,manager,6
high school latin teacher,misc education,6
hotel front desk clerk recent college graduate,grad student,6
physician healthcare analyst,misc health,6
stay-at-home dad graduate student,unemployed,6
law student originally,unemployed,6
eighth grader,grad student,6
opera producer,opera producer,6
analyst,analyst,6
software development manager,manager,6
pharmacist,pharmacist,6
patent attorney,attorney,6
construction attorney,attorney,7
operations analyst,analyst,7
ph.d. student,grad student,7
volunteer guardian ad litem,volunteer,7
naval officer,military officer,7
archivist,archivist,7
middle school english teacher,teacher,7
professor english,professor,7
research scientist,scientist,7
translation coordinator,coordinator,7
high school science teacher,misc education,7
english teacher,teacher,7
actuary,actuary,7
escalation manager,manager,7
science content developer,science content developer,7
english professor,professor,7
ph.d. student originally,unemployed,8
copywriter,writer,8
banker,banker,8
compliance analyst voiceover artist,artist/designer,8
university administrator,university administrator,8
retired teacher,unemployed,8
management consultant,consultant,8
medical student,student,9
physician,physician,9
chef,chef,9
freshman,student,9
network engineer,engineer,9
math teacher,teacher,9
customer service representative,customer service representative,9
educator,teacher,10
project manager,manager,10
music teacher,teacher,10
computer programmer,computer programmer,10
social worker,social worker,11
software developer,software developer,11
writer originally,unemployed,12
attorney originally,unemployed,12
data scientist,scientist,12
currency trader,currency trader,12
engineer,engineer,12
assistant professor,professor,13
music executive,manager,13
lawyer,lawyer,13
high school english teacher,misc education,14
administrative assistant,administrative assistant,14
microbiologist,microbiologist,16
writer editor,writer,16
journalist,journalist,16
sophomore,student,17
editor,editor,18
ph.d. candidate,grad student,18
professor,professor,19
supply chain professional,supply chain professional,21
teacher,teacher,22
high school history teacher,misc education,23
bartender,artist/designer,26
graduate student,grad student,28
junior,student,29
software engineer,engineer,30
student,student,30
professional sports gambler,professional sports gambler,31
stay-at-home mom,unemployed,32
librarian,librarian,33
senior,student,34
writer,writer,42
attorney,attorney,123
